Timestamp,Index
310,1
312,2
315,3
317,4
320,5
322,6
325,7
327,8
330,9
332,10
335,11
337,12
340,13
342,14
345,15
347,16
350,17
352,18
355,19
357,20
360,21
362,22
365,23
367,24
370,25
372,26
375,27
377,28
380,29
382,30
385,31
387,32
390,33
392,34
395,35
397,36
400,37
402,38
405,39
407,40
410,41
412,42
414,43
417,44
419,45
422,46
424,47
427,48
429,49
432,50
434,51
437,52
439,53
442,54
444,55
447,56
449,57
452,58
454,59
457,60
459,61
462,62
464,63
467,64
469,65
472,66
474,67
477,68
479,69
482,70
484,71
487,72
489,73
492,74
494,75
497,76
499,77
502,78
504,79
507,80
509,81
512,82
514,83
519,85
522,86
524,87
527,88
529,89
532,90
534,91
536,92
539,93
541,94
544,95
546,96
549,97
551,98
554,99
556,100
559,101
561,102
564,103
566,104
569,105
571,106
574,107
576,108
579,109
581,110
584,111
586,112
589,113
591,114
594,115
596,116
599,117
601,118
604,119
606,120
609,121
611,122
614,123
616,124
619,125
621,126
624,127
626,128
629,129
631,130
634,131
636,132
639,133
641,134
644,135
646,136
649,137
651,138
654,139
656,140
659,141
661,142
663,143
666,144
668,145
671,146
673,147
676,148
678,149
681,150
683,151
686,152
688,153
691,154
693,155
696,156
698,157
701,158
703,159
706,160
708,161
711,162
713,163
716,164
718,165
721,166
723,167
726,168
728,169
731,170
733,171
736,172
738,173
741,174
743,175
746,176
748,177
751,178
753,179
756,180
758,181
761,182
763,183
766,184
768,185
771,186
773,187
776,188
778,189
781,190
783,191
785,192
788,193
790,194
793,195
795,196
798,197
800,198
803,199
805,200
808,201
810,202
813,203
815,204
818,205
820,206
823,207
825,208
828,209
830,210
833,211
835,212
838,213
840,214
843,215
845,216
848,217
850,218
853,219
855,220
858,221
860,222
863,223
865,224
868,225
870,226
873,227
875,228
878,229
880,230
883,231
885,232
888,233
890,234
893,235
895,236
898,237
900,238
903,239
905,240
908,241
910,242
912,243
915,244
917,245
920,246
922,247
925,248
927,249
930,250
932,251
935,252
945,256
947,257
950,258
955,260
960,262
965,264
967,265
975,268
980,270
982,271
985,272
987,273
995,276
997,277
1017,285
1025,288
1030,290
1032,291
1042,295
1044,296
1049,298
1054,300
1057,301
1067,305
1074,308
1077,309
1079,310
1082,311
1084,312
1087,313
1089,314
1092,315
1097,317
1099,318
1112,323
1117,325
1127,329
1129,330
1132,331
1134,332
1142,335
1144,336
1147,337
1149,338
1152,339
1154,340
1157,341
1159,342
1161,343
1169,346
1171,347
1174,348
1176,349
1179,350
1181,351
1184,352
1186,353
1191,355
1196,357
1204,360
1209,362
1214,364
1216,365
1219,366
1229,370
1231,371
1234,372
1239,374
1244,376
1246,377
1249,378
1251,379
1254,380
1256,381
1259,382
1261,383
1264,384
1266,385
1269,386
1271,387
1274,388
1279,390
1281,391
1283,392
1286,393
1288,394
1296,397
1298,398
1303,400
1313,404
1316,405
1323,408
1333,412
1338,414
1346,417
1351,419
1356,421
1366,425
1368,426
1398,438
1428,450
1458,462
1460,463
1463,464
1470,467
1473,468
1480,471
1500,479
1505,481
1508,482
1513,484
1518,486
1520,487
1537,494
1540,495
1542,496
1550,499
1555,501
1557,502
1562,504
1565,505
1567,506
1575,509
1577,510
1580,511
1587,514
1590,515
1600,519
1605,521
1612,524
1615,525
1617,526
1620,527
1622,528
1625,529
1627,530
1635,533
1640,535
1642,536
1645,537
1647,538
1657,542
1659,543
1662,544
1667,546
1672,548
1674,549
1679,551
1682,552
1684,553
1709,563
1714,565
